# id	left	top	right	bottom	texture_id

[SPRITES]
##### DIE #####
# ATTACK LEFT & RIGHT
14931	78	106	101	135	0
14932	193	141	216	170	0

# WALKING IN WORLDMAP
14941	3	145	20	170	0
14942	22	145	39	170	0




# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
##### DIE #####
999	11000	100


##### SMALL #####
# IDLE
100	12110	100
101	12120	100

# WALK LEFT & RIGHT
200	12110	100	12210	100
201	12120	100	12220	100

# SPEED UP LEFT & RIGHT
210	12110	20	12210	20
211	12120	20	12220	20

# WALKING IN WORLD MAP
221	12901	100	12902	100

# RUN LEFT & RIGHT
300	12311	20	12312	20
301	12321	20	12322	20

# JUMP WALK
400	12411	100
401	12412	100

# JUMP RUN
500	12421	100
501	12422	100

# BRACE LEFT & RIGHT
600	12510	100
601	12520	100

# TRANSFORM LEFT & RIGHT
610	12110	50	13110	50
611	12120	50	13120	50

# KICK LEFT & RIGHT
2200	12610	100
2201	12620	100
 
# HOLD IDLE LEFT & RIGHT
2500	12711	100
2501	12721	100

# HOLD RUN LEFT & RIGHT
2800	12711	100	12712	100
2801	12721	100	12722	100

# HOLD JUMP LEFT & RIGHT
3100	12712	100
3101	12722	100

# GET INTO PIPE
102	12800	100


##### BIG #####
# IDLE
700	13110	100
701	13120	100

# WALK LEFT & RIGHT 
800	13110	100	13211	100	13212	100
801	13120	100	13221	100	13222	100

# SPEED UP LEFT & RIGHT 
810	13110	20	13211	20	13212	20
811	13120	20	13221	20	13222	20

# WALKING IN WORLD MAP
821	13901	100	13902	100

# RUN LEFT & RIGHT
900	13311	20	13312	20	13313	20
901	13321	20	13322	20	13323	20

# JUMP WALK
1000	13411	100
1001	13412	100

# JUMP RUN 
1100	13421	100
1101	13422	100

# SIT LEFT & RIGHT
1200	13510	100
1201	13520	100

# BRACE LEFT & RIGHT
1300	13610	100
1301	13620	100

# KICK LEFT & RIGHT
2300	13710	100
2301	13720	100

# HOLD IDLE LEFT & RIGHT
2600	13811	100
2601	13821	100

# HOLD RUN LEFT & RIGHT
2900	13811	100	13812	100	13813	100
2901	13821	100	13822	100	13823	100

# HOLD JUMP LEFT & RIGHT
3200	13813	100
3201	13823	100

# GET INTO PIPE
702	13900	100


##### RACOON #####
# IDLE
1400	14111	100
1401	14121	100
1402	14131	100

# WALK LEFT & RIGHT 
1500	14111	100	14211	100	14212	100
1501	14121	100	14221	100	14222	100

# SPEED UP LEFT & RIGHT 
1520	14111	20	14211	20	14212	20
1521	14121	20	14221	20	14222	20

# WALKING IN WORLD MAP
1531	14941	100	14942	100

# RUN LEFT & RIGHT
1600	14311	20	14312	20	14313	20
1601	14321	20	14322	20	14323	20

# JUMP WALK UP
1700	14411	100
1701	14412	100

# JUMP WALK DOWN
1702	14921	100
1703	14923	100

# JUMP RUN UP
1800	14423	100
1801	14426	100

# JUMP RUN DOWN
1802	14421	100
1803	14424	100

# SIT LEFT & RIGHT
1900	14510	100
1901	14520	100

# BRACE LEFT & RIGHT
2000	14610	100
2001	14620	100

# ATTACK LEFT & RIGHT
2100	14932	75	14131	75	14931	75	14132	75
2101	14931	75	14131	75	14932	75	14132	75

# KICK LEFT & RIGHT
2400	14710	100
2401	14720	100

# HOLD IDLE LEFT & RIGHT
2700	14811	100
2701	14821	100

# HOLD RUN LEFT & RIGHT
3000	14811	100	14812	100	14813	100
3001	14821	100	14822	100	14823	100

# HOLD JUMP LEFT & RIGHT
3300	14813	100
3301	14823	100

# FLY LEFT & RIGHT
3400	14423	50	14421	50	14422	50
3401	14426	50	14424	50	14425	50

# FLOAT LEFT & RIGHT
3410	14921	50	14922	50
3411	14923	50	14924	50
