# id	left	top	right	bottom	texture_id

[SPRITES]
##### DIE #####
# WALKING IN WORLD MAP
1581	149410	100	149420	100

# RUN LEFT & RIGHT
1650	143110	20	143120	20	143130	20
1651	143210	20	143220	20	143230	20

# JUMP WALK UP
1750	144110	100
1751	144120	100

# JUMP WALK DOWN
1752	149210	100
1753	149230	100

# JUMP RUN UP
1850	144230	100
1851	144260	100

# JUMP RUN DOWN
1852	144210	100
1853	144240	100

# SIT LEFT & RIGHT
1950	145100	100
1951	145200	100

# BRACE LEFT & RIGHT
2050	146100	100
2051	146200	100

# ATTACK LEFT & RIGHT
2150	149320	75	141310	75	149310	75	141320	75
2151	149310	75	141310	75	149320	75	141320	75

# KICK LEFT & RIGHT
2450	147100	100
2451	147200	100

# HOLD IDLE LEFT & RIGHT
2750	148110	100
2751	148210	100

# HOLD RUN LEFT & RIGHT
3050	148110	100	148120	100	148130	100
3051	148210	100	148220	100	148230	100

# HOLD JUMP LEFT & RIGHT
3350	148130	100
3351	148230	100

# FLY LEFT & RIGHT
3450	144230	50	144210	50	144220	50
3451	144260	50	144240	50	144250	50

# FLOAT LEFT & RIGHT
3460	149210	50	149220	50
3461	149230	50	149240	50
